*****01010 mvkl
*****01010 mvkh
*****11010 mvkh
****001111 stb(15)
****010111 sth（15）
****011111 stw(15)
****100010 set
****101111 stb(15)
****110111 sth（15）
****111111 stw(15)
***0010101 sth（5）
***0110101 sth（5）
0000000000 DINT
0000000000 IDLE
0000000000 MFENCE
0000000000 NOP
0000000000 RINT
0000000000 SPKERNEL
0000000000 SPKERNELR
0000000000 SPLOOP
0000000000 SPLOOPD
0000000000 SPLOOPW
0000000000 SPMASK
0000000000 SPMASKR
0000000000 SWE
0000000000 SWENR
0000000110 DPACKL2
0000000110 PACK2
0000001000 BDEC
0000001000 BPOS
0000001100 DMPY2
0000001100 MPY2
0000001101 stb(5)
0000001101 stb(5)
0000001110 DPTRUNC
0000010000 MVK
0000010110 ADD
0000010110 MV
0000011000 ADD2
0000011000 DADD2
0000011100 DSMPY2
0000011100 SMPY2
0000011101 stw(5)
0000011101 stw(5)
0000011110 ADD
0000011110 DADD
0000100000 DMPYU2
0000100000 MPYH
0000100110 DSUB2
0000100110 SUB2
0000101000 INTSPU
0000101000 SPDP
0000101100 DCMPY
0000101100 DOTPSU4
0000101100 DOTPSU4H
0000101100 DOTPUS4
0000101101 stb(5)
0000101101 stb(5)
0000101110 ADD2
0000101110 DADD2
0000110110 NEG
0000110110 SUB
0000111000 B IRP
0000111000 B NRP
0000111000 SHL2
0000111100 BITC4
0000111100 BITR
0000111100 CMPEQ4
0000111100 DCCMPY
0000111100 DEAL
0000111100 DXPND2
0000111100 DXPND4
0000111100 MVD
0000111100 SHFL
0000111100 XPND2
0000111100 XPND4
0000111101 stw(5)
0000111101 stw(5)
0000111110 DSUB
0000111110 SUB
0001000000 SMPYH
0001000110 DPINT
0001001000 BNOP
0001001100 DMPYU4
0001001100 MPYU4
0001001110 DPSP
0001010001 stdw
0001010101 stnw
0001010110 SPINT
0001011000 ADDKPC
0001011100 DOTPSU4H
0001011100 MPYSU4
0001011100 MPYUS4
0001011101 stndw
0001011110 SPTRUNC
0001100000 MPYHSU
0001100110 ADDSUB
0001101000 DSHL2
0001101000 MV
0001101100 DOTP4H
0001101100 DOTPU4
0001101110 ADDSUB2
0001110001 stdw
0001110001 stdw
0001110101 stnw
0001110101 stnw
0001110110 SADDSUB
0001110110 SADDSUB2
0001110110 SSUB
0001111000 DADD
0001111100 DOTP4H
0001111100 DOTPNRSU2
0001111101 stndw
0001111101 stndw
0001111110 SSUB
0010000000 CMTATMPY
0010000000 MPYI
0010001000 DPACKHL2
0010001000 PACKHL2
0010001100 CMPY32R1
0010001100 CMPY32R1
0010001100 DDOTP4H
0010001100 MPYU2
0010001101 stb(5)
0010001101 stb(5)
0010001110 SUBSP
0010010110 SADD
0010011000 DPACKH2
0010011000 PACKH2
0010011100 CCMPY32R1
0010011100 DDOTPSU4H
0010011100 DOTPN2
0010011101 stw(5)
0010011101 stw(5)
0010011110 DSADD
0010011110 SADD
0010100000 CCMATMPY
0010100000 MPYHUS
0010100110 DSADD2
0010101000 INTSP
0010101000 NOT
0010101000 XOR
0010101000 XOR
0010101100 CMPY
0010101101 stb(5)
0010101101 stb(5)
0010101110 SUBSP
0010111000 XOR
0010111000 XOR
0010111100 CMPYR
0010111100 DOTP2
0010111101 stw(5)
0010111101 stw(5)
0010111110 SUB
0011000000 CMATMPYR1
0011000000 MPYI
0011000110 ADDDP
0011001000 FADDDP
0011001100 CMPYR1
0011001100 DOTP2
0011001110 SUBDP
0011010001 stdw
0011010001 stdw
0011010101 stnw
0011010101 stnw
0011010110 ABS
0011010110 ABS2
0011010110 CROT270
0011010110 CROT90
0011010110 DCROT270
0011010110 DCROT90
0011010110 DINTHSP
0011010110 DINTSP
0011010110 DINTHSPU
0011010110 DINTSPU
0011010110 DSPINT
0011010110 DSPINTH
0011010110 MVK
0011010110 SWAP4
0011010110 UNPKBU4
0011010110 UNPKH2
0011010110 UNPKHU2
0011010110 UNPKHU4
0011010110 UNPKLU4
0011011000 B
0011011000 BNOP
0011011100 DCMPYR1
0011011100 DOTPRSU2
0011011101 stndw
0011011101 stndw
0011011110 DPACKLH2
0011011110 PACKLH2
0011011110 SWAP2
0011100000 CCMATMPYR1
0011100000 MPYHU
0011100110 DPACKHL2
0011100110 PACKHL2
0011101000 MVC
0011101100 DCCMPYR1
0011101100 MPYILR
0011101100 MPYLIR
0011101110 SUBDP
0011110001 stdw
0011110001 stdw
0011110101 stnw
0011110101 stnw
0011110110 DPACKH2
0011110110 PACKH2
0011111000 MVC
0011111100 FMPYDP
0011111100 MPY2IR
0011111101 stndw
0011111101 stndw
0011111110 SSUB
0100000000 MPYID
0100000110 ADD
0100001000 DPACKLH2
0100001000 PACKLH2
0100001000 SWAP2
0100001100 DAVGNRU4
0100001100 MPYHIR
0100001100 MPYIHR
0100001101 stb(5)
0100001110 ADD
0100010110 DADD
0100011000 DSUB2
0100011000 SUB2
0100011100 DAVGNR2
0100011100 GMPY4
0100011101 stw(5)
0100011110 ADD
0100100000 MPYHL
0100100110 NEG
0100100110 SUB
0100101000 DSHL2
0100101000 SHL
0100101100 AVGU4
0100101100 DAVGU4
0100101101 stb(5)
0100111000 SHL
0100111000 SHL2
0100111100 AVG2
0100111100 DAVG2
0100111101 stw(5)
0100111110 SUB
0101000000 SMPYHL
0101001000 CMPGT2
0101001000 CMPLT2
0101001000 DCMPGT2
0101001100 DDOTPL2R
0101001100 MPYHI
0101001100 MPYIH
0101001110 ADDU
0101010001 stdw
0101010101 stnw
0101011000 CMPGTU4
0101011000 CMPLTU4
0101011000 DCMPGTU4
0101011100 DDOTPH2R
0101011100 MPYIL
0101011100 MPYLI
0101011101 stndw
0101011110 ADDU
0101100000 MPYHSLU
0101100110 SSUB
0101101000 NEG
0101101000 SUB
0101101100 DDOTPL2
0101101100 MPYSPDP
0101101100 MPYSP2DP
0101110001 stdw
0101110101 stnw
0101111000 DSUB
0101111000 SUB
0101111100 DDOTPH2
0101111101 stndw
0101111110 SUBU
0110000000 MPYID
0110000110 ADDSP
0110000110 SADD
0110001000 DSHR2
0110001100 DDOTP4
0110001100 DMPYSU4
0110001100 MPY32U
0110001101 stb(5)
0110001110 SADD
0110011000 DSHRU2
0110011000 SHRU2
0110011100 MPY32US
0110011100 SMPY32
0110011101 stw(5)
0110011110 DPACKX2
0110100000 MPYHULS
0110100110 DPACK2
0110101000 OR
0110101101 stb(5)
0110110110 SHFL3
0110111000 OR
0110111100 XORMPY
0110111101 stw(5)
0110111110 SUB
0111000000 MPYDP
0111000110 ABS2
0111000110 DAPYS2
0111001000 DCMPEQ4
0111001100 SSHVL
0111001110 INTDP
0111010001 stdw
0111010101 stnw
0111011000 CMPEQ2
0111011000 DCMPEQ2
0111011100 ROTL
0111011100 SSHVR
0111011101 stndw
0111011110 INTDPU
0111100000 MPYHLU
0111100110 DADDSP
0111100110 FADDSP
0111101000 AND
0111101100 ROTL
0111101110 DSUBSP
0111101110 FSUBSP
0111110001 stdw
0111110101 stnw
0111111000 AND
0111111000 AND
0111111100 GMPY
0111111101 stndw
0111111110 SUBU
1000000000 MPY32
1000000000 PACKL4
1000000000 QMPY32
1000000110 SAT
1000001000 DSADD
1000001000 SADD
1000001100 ANDN
1000001101 stb(5)
1000001101 stb(5)
1000001110 DMIN2
1000010000 ADD
1000010000 ADDAB
1000010110 DMAX2
1000010110 MAX2
1000011000 DADD
1000011101 stw(5)
1000011101 stw(5)
1000011110 DMAXU4
1000011110 MAXU4
1000011110 MIN2
1000100000 MPYLH
1000100110 CMPGT
1000101000 SSHL
1000101100 OR
1000101101 stb(5)
1000101101 stb(5)
1000101110 CMPGT
1000110000 SUB
1000110000 SUBAB
1000110110 CMPGT
1000111000 SSHL
1000111100 OR
1000111101 stw(5)
1000111101 stw(5)
1000111110 CMPGT
1001000000 SMPYLH
1001000110 DMINU4
1001000110 MINU4
1001001100 ADD2
1001001110 INTSPU
1001010000 ADD
1001010000 ADDAB
1001010000 MV
1001010001 stdw
1001010001 stdw
1001010101 stnw
1001010101 stnw
1001010110 INTSP
1001011100 SUB2
1001011101 stndw
1001011101 stndw
1001011110 SUBC
1001100000 MPYLSHU
1001100110 CMPGTU
1001101000 DSHRU
1001101100 AND
1001101110 CMPGTU
1001110000 SUB
1001110000 SUBAB
1001110001 stdw
1001110001 stdw
1001110101 stnw
1001110101 stnw
1001110110 CMPGTU
1001111000 DSHRU
1001111100 AND
1001111101 stndw
1001111101 stndw
1001111110 CMPGTU
1010000110 CMPEQ
1010001000 CMPEQDP
1010001101 stb(5)
1010001101 stb(5)
1010001110 CMPEQ
1010010000 ADDAH
1010010110 CMPEQ
1010011000 CMPGTDP
1010011101 stw(5)
1010011101 stw(5)
1010011110 CMPEQ
1010100000 MPYLUHS
1010100110 CMPLT
1010101000 CMPLTDP
1010101100 ADD
1010101101 stb(5)
1010101101 stb(5)
1010101110 CMPLT
1010110000 SUBAH
1010110110 CMPLT
1010111100 ADD
1010111101 stw(5)
1010111101 stw(5)
1010111110 CMPLT
1011000000 MPY32SU
1011000110 FADDDP
1011001000 ABSDP
1011001000 DADDSP
1011001100 SUB
