*****00100 B
*****01010 MVK
*****01010 MVKL
*****11010 MVK
*****11010 MVKH/MVKLH
****000010 EXTU
****000011 LDB(U)
****000101 LDB(U)
****001011 LDB(U)
****001111 STB(15)
****010001 LDB(U)
****010010 EXT
****010111 STH(15)
****011111 STW(15)
****100010 CLR
****100010 SET
****100011 LDB(U)
****100101 LDB(U)
****101000 ADDK
****101011 LDB(U)
****101111 STB(15)
****110001 LDB(U)
****110111 STH(15)
****111111 STW(15)
***0000011 LDB(U)
***0000101 LDB(U)
***0001011 LDB(U)
***0001101 STB(5)
***0010001 LDB(U)
***0010101 STH(5)
***0011001 LDW
***0011011 LDW
***0011101 STW(5)
***0100011 LDB(U)
***0100101 LDB(U)
***0101011 LDB(U)
***0101101 STB(5)
***0110001 LDB(U)
***0110101 STH(5)
***0111001 LDW
***0111011 LDW
***0111101 STW(5)
***1011001 LDDW
***1111001 LDDW
0000000000 IDLE
0000000000 NOP
0000001110 DPTRUNC
0000010110 ADD
0000010110 MV
0000011000 ADD2
0000011110 ADD
0000100000 MPYH
0000101000 SPDP
0000110110 NEG
0000110110 SUB
0000111000 B IRP
0000111000 B NRP
0000111110 SUB
0001000000 SMPYH
0001000110 DPINT
0001001110 DPSP
0001010110 SPINT
0001011110 SPTRUNC
0001100000 MPYHSU
0001101000 MV
0001110110 SSUB
0001111110 SSUB
0010000000 MPYI
0010000110 ADDSP
0010001110 SUBSP
0010010110 SADD
0010011110 SADD
0010100000 MPYHUS
0010101000 NOT
0010101000 XOR
0010101110 SUBSP
0010111000 XOR
0010111110 SUB
0011000000 MPYI
0011000110 ADDDP
0011001110 SUBDP
0011010110 ABS
0011011000 B
0011100000 MPYHU
0011101000 MVC
0011101110 SUBDP
0011111000 MVC
0011111110 SSUB
0100000000 MPYID
0100000110 ADD
0100000110 MV
0100001110 ADD
0100011000 SUB2
0100011110 ADD
0100100110 NEG
0100100110 SUB
0100101000 SHL
0100111000 SHL
0100111110 SUB
0101000000 SMPYHL
0101001100 MPYHI
0101001110 ADDU
0101011110 ADDU
0101100000 MPYHSLU
0101100110 SSUB
0101101000 NEG
0101101000 SUB
0101101100 MPYSPDP
0101101100 MPYSP2DP
0101111000 SUB
0101111110 SUBU
0110000000 MPYID
0110000110 SADD
0110001110 SADD
0110100000 MPYHULS
0110101000 OR
0110111000 OR
0110111110 SUB
0111000000 MPYDP
0111000110 ABS
0111001110 INTDP
0111011110 INTDPU
0111100000 MPYHLU
0111101000 AND
0111111000 AND
0111111110 SUBU
1000000110 SAT
1000010000 ADD
1000010000 ADDAB
1000100000 MPYLH
1000100110 CMPGT
1000101000 SSHL
1000101110 CMPGT
1000110000 SUB
1000110000 SUBAB
1000110110 CMPGT
1000111000 SSHL
1000111110 CMPGT
1001000000 SMPYLH
1001001000 SHRU
1001001110 INTSPU
1001010000 ADD
1001010000 ADDAB
1001010000 MV
1001010110 INTSP
1001011000 SHRU
1001011110 SUBC
1001100110 CMPGTU
1001101000 SHRU
1001101110 CMPGTU
1001110000 MPYLSHU
1001110000 SUB
1001110000 SUBAB
1001110110 CMPGTU
1001111000 SHRU
1001111110 CMPGTU
1010000110 CMPEQ
1010001000 CMPEQDP
1010001110 CMPEQ
1010010000 ADDAH
1010010110 CMPEQ
1010011000 CMPGTDP
1010011110 CMPEQ
1010100000 MPYLUHS
1010100110 CMPLT
1010101000 CMPLTDP
1010101100 ADD
1010101110 CMPLT
1010110000 SUBAH
1010110110 CMPLT
1010111000 EXT
1010111100 ADD
1010111110 CMPLT
1011001000 ABSDP
1011010000 ADDAH
1011011000 ADD
1011011000 RCPDP
1011100110 CMPLTU
1011101000 RSQRDP
1011101110 CMPLTU
1011110000 SUBAH
1011110110 CMPLTU
1011111000 EXT
1011111110 CMPLTU
1100000000 MPY
1100000110 NORM
1100001000 SHL
1100010000 ADDAW
1100011000 SHL
1100011110 NORM
1100100000 MPY
1100101000 SHL
1100110000 SUBAW
1100111000 SHL
1101000000 SMPY
1101001000 SHR
1101010000 ADDAW
1101010110 LMBD
1101011000 SHR
1101011110 LMBD
1101100000 MPYSU
1101101000 SHR
1101110000 SUBAW
1101110110 NOT
1101110110 XOR
1101111000 SHR
1101111110 XOR
1110000000 MPYSP
1110000110 ADDSP
1110001000 CMPEQSP
1110001110 SUBSP
1110010000 ADDAD
1110010110 ADDDP
1110011000 CMPGTSP
1110011110 SUBDP
1110100000 MPYUS
1110101000 CMPLTSP
1110101110 SUBSP
1110110000 ADDAD
1110111110 SUBDP
1111000000 MPYSU
1111001000 ABSSP
1111010110 AND
1111011000 RCPSP
1111011110 AND
1111100000 MPYU
1111101000 RSQRSP
1111110110 OR
1111111000 CLR
1111111110 OR
